id	title	company	company_slug	location	type	posted	role_category	seniority	culture_values	glassdoor_rating	apply_url	profile_url	jobs_filter_url	post_count	last_posted	status	og_image
1	Account Executive - Federal	Databricks	databricks	Australian Capital Territory, Australia	Full-time	3d ago	Sales	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=8441867002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks		03/13/26 11:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=databricks
2	Account Executive, AI Sales	Stripe	stripe	San Francisco, CA	Full-time	1d ago	Sales	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7532733?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe		03/14/26 12:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=stripe
3	Account Executive, France + Middle East	CoreWeave	coreweave	London, UK	Full-time	4d ago	Sales	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4648013006&board=coreweave&gh_jid=4648013006?ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave		03/14/26 01:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=coreweave
4	Account Executive (12 Month FTC)	Airbnb	airbnb	Paris, France	Full-time	1w ago	Sales	Mid-Level	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7649441?gh_jid=7649441?ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb		03/14/26 02:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=airbnb
5	Account Coordinator	Anthropic	anthropic	New York City, NY; San Francisco, CA	Full-time	1d ago	Other	Mid-Level	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5074975008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic		03/14/26 03:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=anthropic
6	Account Executive, Enterprise	Figma	figma	San Francisco, CA • New York, NY • United States	Full-time	3w ago	Sales	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Learning & Growth, Direct Product Impact, Deep Work / Low Meetings	3.7	https://boards.greenhouse.io/figma/jobs/5426468004?gh_jid=5426468004?ref=jobsbyculture.com	https://jobsbyculture.com/companies/figma	https://jobsbyculture.com/jobs?company=figma		03/14/26 04:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=figma
7	Account Executive, Corporate - Benelux	HubSpot	hubspot	Dublin, Ireland	Full-time	2mo ago	Sales	Mid-Level	Diverse & Inclusive, Learning & Growth, Work-Life Balance, Transparency, Flexible Hours, Psychological Safety	4.3	https://www.hubspot.com/careers/jobs/5986326?gh_jid=5986326?ref=jobsbyculture.com	https://jobsbyculture.com/companies/hubspot	https://jobsbyculture.com/jobs?company=hubspot		03/14/26 05:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=hubspot
8	Accounts Payable Accountant	Scale AI	scale	Mexico City, MX	Full-time	3w ago	Other	Mid-Level	Engineering-Driven, Direct Product Impact, Learning & Growth, Ship Fast & Iterate	3.5	https://job-boards.greenhouse.io/scaleai/jobs/4623913005?ref=jobsbyculture.com	https://jobsbyculture.com/companies/scale	https://jobsbyculture.com/jobs?company=scale		03/14/26 06:01AM	posted	https://jobsbyculture.com/api/og?type=company&slug=scale
9	Account Executive – AI for Citizens	Mistral AI	mistral	Paris	Full-time	3w+ ago	Sales	Mid-Level	Ship Fast & Iterate, Engineering-Driven, Flat Hierarchy, Wears Many Hats, Open Source Culture	4	https://jobs.lever.co/mistral/7894fd8a-ffc9-4c89-87f0-f8a7b695cf01?ref=jobsbyculture.com	https://jobsbyculture.com/companies/mistral	https://jobsbyculture.com/jobs?company=mistral		03/14/26 07:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=mistral
10	AI Operations Specialist | Enablement	Ramp	ramp	New York, NY (HQ)	FullTime	3w+ ago	Operations	Mid-Level	Ship Fast & Iterate, Direct Product Impact, Engineering-Driven, Transparency, Strong Comp & Equity, Learning & Growth	4.2	https://jobs.ashbyhq.com/ramp/63df0ffc-bdc6-40ba-906f-fe03378536b0?ref=jobsbyculture.com	https://jobsbyculture.com/companies/ramp	https://jobsbyculture.com/jobs?company=ramp		03/14/26 08:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=ramp
