PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,No. of all inlinks
,https://databricks.com/company/careers/open-positions/job?gh_jid=8155422002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8155422002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://databricks.com/company/careers/open-positions/job?gh_jid=8441867002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8441867002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,13
,https://databricks.com/company/careers/open-positions/job?gh_jid=8435970002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8435970002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://databricks.com/company/careers/open-positions/job?gh_jid=8434243002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8434243002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8168394002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8168394002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,3
,https://boards.greenhouse.io/figma/jobs/5790731004?gh_jid=5790731004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5790731004?gh_jid=5790731004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://boards.greenhouse.io/cloudflare/jobs/7620498?gh_jid=7620498%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7620498?gh_jid=7620498%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://boards.greenhouse.io/figma/jobs/5764795004?gh_jid=5764795004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5764795004?gh_jid=5764795004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7635147?gh_jid=7635147%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7635147/?gh_jid=7635147%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,5
,https://careers.airbnb.com/positions/7707299?gh_jid=7707299%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7707299/?gh_jid=7707299%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,12
