PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
36,https://jobsbyculture.com/,JobsByCulture — Culture-First AI & Tech Job Board,text/html; charset=utf-8,false,200,0,0,,,0,"https://boards.greenhouse.io/cloudflare/jobs/7560306?gh_jid=7560306%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://databricks.com/company/careers/open-positions/job?gh_jid=8189900002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://paytaxfa.st/?ref=jobsbyculture.com
https://stripe.com/jobs/search?gh_jid=7576967%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com","301
301
308
301",4
32,https://jobsbyculture.com/roles/engineering,Engineering Jobs at AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,"https://boards.greenhouse.io/cloudflare/jobs/7560306?gh_jid=7560306%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://careers.airbnb.com/positions/7744247?gh_jid=7744247%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://databricks.com/company/careers/open-positions/job?gh_jid=8189900002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://stripe.com/jobs/search?gh_jid=7576967%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com","301
301
301
301",4
32,https://jobsbyculture.com/seniority/senior,Senior Jobs at AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,"https://boards.greenhouse.io/cloudflare/jobs/7378049?gh_jid=7378049%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://careers.airbnb.com/positions/7732569?gh_jid=7732569%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://databricks.com/company/careers/open-positions/job?gh_jid=8435970002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com","301
301
301",3
32,https://jobsbyculture.com/values/remote,Remote-Friendly Jobs at AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,"https://apply.workable.com/j/095A7F1D99?ref=jobsbyculture.com
https://careers.airbnb.com/positions/7649441?gh_jid=7649441%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com
https://careers.airbnb.com/positions/7707299?gh_jid=7707299%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com","301
301
301",3
22,https://jobsbyculture.com/companies/crusoe,Crusoe Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://www.crusoe.ai/careers/?ref=jobsbyculture.com,301,1
22,https://jobsbyculture.com/companies/openai,OpenAI Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,"https://openai.com/careers?ref=jobsbyculture.com
https://openai.com/research?ref=jobsbyculture.com","308
308",2
22,https://jobsbyculture.com/companies/figma,Figma Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://www.figma.com/careers?ref=jobsbyculture.com,308,1
22,https://jobsbyculture.com/companies/mercury,Mercury Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://mercury.com/careers?ref=jobsbyculture.com,308,1
21,https://jobsbyculture.com/companies/together,Together AI Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,"https://together.ai/?ref=jobsbyculture.com
https://together.ai/careers?ref=jobsbyculture.com","301
301",2
21,https://jobsbyculture.com/companies/baseten,Baseten Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://www.baseten.co/careers/?ref=jobsbyculture.com,308,1
21,https://jobsbyculture.com/companies/elevenlabs,ElevenLabs Culture & Jobs | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://elevenlabs.io/docs/api-reference?ref=jobsbyculture.com,307,1
