id,title,company,company_slug,location,type,posted,role_category,seniority,culture_values,glassdoor_rating,apply_url,profile_url,jobs_filter_url,post_count,last_posted,status,og_image,job_id,highlight_url
1,Account Executive - Federal,Databricks,databricks,"Australian Capital Territory, Australia",Full-time,1w ago,Sales,Mid-Level,"Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact",4.1,https://databricks.com/company/careers/open-positions/job?gh_jid=8441867002?ref=jobsbyculture.com,https://jobsbyculture.com/companies/databricks,https://jobsbyculture.com/jobs?company=databricks,,,pending,https://jobsbyculture.com/api/og?type=company&slug=databricks,8441867002,https://jobsbyculture.com/companies/databricks?job=8441867002
2,"Technical Program Manager, Compute Infrastructure",OpenAI,openai,San Francisco,FullTime,3w+ ago,Product,Lead / Manager,"Engineering-Driven, Ship Fast & Iterate, Learning & Growth, Ethical AI / Safety, Direct Product Impact, Strong Comp & Equity",4.5,https://jobs.ashbyhq.com/openai/8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3?ref=jobsbyculture.com,https://jobsbyculture.com/companies/openai,https://jobsbyculture.com/jobs?company=openai,,,pending,https://jobsbyculture.com/api/og?type=company&slug=openai,8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3,https://jobsbyculture.com/companies/openai?job=8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3
3,"Account Executive, AI Sales",Stripe,stripe,"San Francisco, CA",Full-time,1d ago,Sales,Mid-Level,"Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparent",4,https://stripe.com/jobs/search?gh_jid=7532733?ref=jobsbyculture.com,https://jobsbyculture.com/companies/stripe,https://jobsbyculture.com/jobs?company=stripe,,,pending,https://jobsbyculture.com/api/og?type=company&slug=stripe,7532733,https://jobsbyculture.com/companies/stripe?job=7532733
4,"Account Executive, France + Middle East",CoreWeave,coreweave,"London, UK",Full-time,1d ago,Sales,Mid-Level,"Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats",3.6,https://coreweave.com/careers/job?4648013006&board=coreweave&gh_jid=4648013006?ref=jobsbyculture.com,https://jobsbyculture.com/companies/coreweave,https://jobsbyculture.com/jobs?company=coreweave,,,pending,https://jobsbyculture.com/api/og?type=company&slug=coreweave,4648013006,https://jobsbyculture.com/companies/coreweave?job=4648013006
5,Account Executive (12 Month FTC),Airbnb,airbnb,"Paris, France",Full-time,3w ago,Sales,Mid-Level,"Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source, Strong Comp & Equity",4.1,https://careers.airbnb.com/positions/7649441?gh_jid=7649441?ref=jobsbyculture.com,https://jobsbyculture.com/companies/airbnb,https://jobsbyculture.com/jobs?company=airbnb,,,pending,https://jobsbyculture.com/api/og?type=company&slug=airbnb,7649441,https://jobsbyculture.com/companies/airbnb?job=7649441
6,"Account Coordinator, Healthcare & Life Sciences",Anthropic,anthropic,"New York City, NY; San Francisco, CA",Full-time,5d ago,Other,Mid-Level,"Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy",4.4,https://job-boards.greenhouse.io/anthropic/jobs/5074975008?ref=jobsbyculture.com,https://jobsbyculture.com/companies/anthropic,https://jobsbyculture.com/jobs?company=anthropic,,,pending,https://jobsbyculture.com/api/og?type=company&slug=anthropic,5074975008,https://jobsbyculture.com/companies/anthropic?job=5074975008
7,"Account Executive, Enterprise",Figma,figma,"San Francisco, CA • New York, NY • United States",Full-time,1mo ago,Sales,Mid-Level,"Engineering-Driven, Ship Fast & Iterate, Learning & Growth, Direct Product Impact, Deep Work / Low Meetings",3.7,https://boards.greenhouse.io/figma/jobs/5426468004?gh_jid=5426468004?ref=jobsbyculture.com,https://jobsbyculture.com/companies/figma,https://jobsbyculture.com/jobs?company=figma,,,pending,https://jobsbyculture.com/api/og?type=company&slug=figma,5426468004,https://jobsbyculture.com/companies/figma?job=5426468004
8,"Account Executive, Corporate - Benelux",HubSpot,hubspot,"Amsterdam, North Holland, Netherlands",Full-time,1mo ago,Sales,Mid-Level,"Diverse & Inclusive, Learning & Growth, Work-Life Balance, Transparent, Flexible Hours, Psychological Safety",4.3,https://www.hubspot.com/careers/jobs/7597469?gh_jid=7597469?ref=jobsbyculture.com,https://jobsbyculture.com/companies/hubspot,https://jobsbyculture.com/jobs?company=hubspot,,,pending,https://jobsbyculture.com/api/og?type=company&slug=hubspot,7597469,https://jobsbyculture.com/companies/hubspot?job=7597469
9,"Account Executive, Embedded Finance",Brex,brex,"New York, New York, United States",Full-time,1d ago,Sales,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Learning & Growth, Transparent, Remote-Friendly",4,https://www.brex.com/careers/7844195002?gh_jid=7844195002?ref=jobsbyculture.com,https://jobsbyculture.com/companies/brex,https://jobsbyculture.com/jobs?company=brex,,,pending,https://jobsbyculture.com/api/og?type=company&slug=brex,7844195002,https://jobsbyculture.com/companies/brex?job=7844195002
10,"AI Applications Ops Lead, GPS",Scale AI,scale,"Doha, Qatar; London, UK",Full-time,1d ago,Other,Lead / Manager,"Engineering-Driven, Direct Product Impact, Learning & Growth, Ship Fast & Iterate",3.5,https://job-boards.greenhouse.io/scaleai/jobs/4654510005?ref=jobsbyculture.com,https://jobsbyculture.com/companies/scale,https://jobsbyculture.com/jobs?company=scale,,,pending,https://jobsbyculture.com/api/og?type=company&slug=scale,4654510005,https://jobsbyculture.com/companies/scale?job=4654510005
