Date,Clicks,Impressions,CTR,Position
2026-02-21,0,0,,
2026-02-22,0,0,,
2026-02-23,1,24,4.17%,12
2026-02-24,0,19,0%,12.7
2026-02-25,2,27,7.41%,11.8
2026-02-26,0,53,0%,13.1
2026-02-27,0,108,0%,15.9
2026-02-28,0,57,0%,22.3
2026-03-01,0,63,0%,23.1
2026-03-02,0,90,0%,21.6
2026-03-03,0,193,0%,19.2
2026-03-04,0,118,0%,31
2026-03-05,0,116,0%,26.1
2026-03-06,1,143,0.7%,24.3
2026-03-07,0,120,0%,25.2
2026-03-08,0,69,0%,19.8
2026-03-09,0,149,0%,23.8
2026-03-10,0,89,0%,12.5
2026-03-11,0,89,0%,20.1
2026-03-12,0,82,0%,14.9
