Country,Clicks,Impressions,CTR,Position
United States,21,4739,0.44%,10.92
India,4,207,1.93%,8.84
Canada,3,377,0.8%,9.81
United Kingdom,3,241,1.24%,13.92
Germany,2,115,1.74%,11.19
Singapore,1,86,1.16%,9.73
Australia,1,45,2.22%,13.78
Ireland,1,43,2.33%,6.58
Sweden,1,25,4%,5.92
Czechia,1,10,10%,6.1
Brazil,0,231,0%,7.71
France,0,106,0%,7.98
Netherlands,0,97,0%,8.84
Mexico,0,88,0%,6.91
South Korea,0,86,0%,9.59
Spain,0,76,0%,7.42
Japan,0,70,0%,7.09
Vietnam,0,57,0%,6.77
Hong Kong,0,44,0%,7.55
Italy,0,44,0%,8.14
Argentina,0,38,0%,5.58
China,0,37,0%,4.78
Philippines,0,37,0%,6.54
Colombia,0,37,0%,6.68
Indonesia,0,33,0%,7.12
Russia,0,32,0%,4.62
Serbia,0,29,0%,7.38
Ukraine,0,27,0%,6.41
Thailand,0,27,0%,6.81
Pakistan,0,26,0%,4.19
Turkey,0,26,0%,5.19
Ecuador,0,25,0%,6.68
Malaysia,0,24,0%,4.25
Poland,0,22,0%,5.23
Israel,0,21,0%,9.19
Peru,0,20,0%,6.85
Switzerland,0,19,0%,9.21
Taiwan,0,18,0%,5.83
Bangladesh,0,18,0%,7.61
Portugal,0,16,0%,6.12
United Arab Emirates,0,16,0%,6.19
Romania,0,16,0%,7
Morocco,0,16,0%,8.06
Kazakhstan,0,16,0%,8.25
Belgium,0,15,0%,5.27
Algeria,0,15,0%,6.53
Finland,0,15,0%,9.33
Chile,0,15,0%,10.33
Denmark,0,15,0%,36
Greece,0,14,0%,10
Iran,0,13,0%,5.77
Dominican Republic,0,13,0%,7.31
Nigeria,0,11,0%,6.91
Georgia,0,11,0%,7
New Zealand,0,11,0%,9.64
South Africa,0,10,0%,6.3
Belarus,0,9,0%,3.44
Saudi Arabia,0,9,0%,5.89
Hungary,0,8,0%,5.25
Egypt,0,8,0%,8.5
Uruguay,0,8,0%,9.62
Croatia,0,7,0%,4.43
Nepal,0,7,0%,5.71
Iraq,0,7,0%,10.86
Tunisia,0,6,0%,7.5
Venezuela,0,6,0%,8
Panama,0,5,0%,3.4
Estonia,0,5,0%,5.2
Austria,0,5,0%,5.6
Trinidad & Tobago,0,5,0%,6.2
Lithuania,0,5,0%,6.4
Cyprus,0,5,0%,7.2
Puerto Rico,0,5,0%,7.4
Unknown Region,0,5,0%,9
Norway,0,5,0%,9.2
Uzbekistan,0,4,0%,4
Bulgaria,0,4,0%,4.75
Jamaica,0,4,0%,5
Honduras,0,4,0%,5.5
Latvia,0,4,0%,6.75
Paraguay,0,4,0%,7
Ethiopia,0,4,0%,7.5
Palestine,0,4,0%,8
Azerbaijan,0,3,0%,4
Albania,0,3,0%,4.33
Slovakia,0,3,0%,5
Barbados,0,3,0%,6
Bahamas,0,3,0%,6.33
Sri Lanka,0,3,0%,6.67
Costa Rica,0,3,0%,7.33
Qatar,0,3,0%,8
Kenya,0,3,0%,8.33
Senegal,0,3,0%,9
Ghana,0,3,0%,18.67
Cuba,0,2,0%,3
Bahrain,0,2,0%,3.5
Guatemala,0,2,0%,3.5
Lebanon,0,2,0%,3.5
Oman,0,2,0%,3.5
Bolivia,0,2,0%,5.5
Bosnia & Herzegovina,0,2,0%,6
Bermuda,0,2,0%,6.5
Madagascar,0,2,0%,6.5
Malawi,0,2,0%,6.5
Cambodia,0,2,0%,7
Kuwait,0,2,0%,8
Montenegro,0,2,0%,8.5
Jordan,0,2,0%,9
Moldova,0,2,0%,10.5
Luxembourg,0,2,0%,11
Armenia,0,1,0%,1
Bhutan,0,1,0%,1
Gibraltar,0,1,0%,1
El Salvador,0,1,0%,1
Laos,0,1,0%,2
Macedonia,0,1,0%,2
Martinique,0,1,0%,2
Mongolia,0,1,0%,3
Slovenia,0,1,0%,3
Guinea,0,1,0%,4
US Virgin Islands,0,1,0%,5
Andorra,0,1,0%,6
Brunei,0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Iceland,0,1,0%,7
Myanmar (Burma),0,1,0%,7
Somalia,0,1,0%,7
Belize,0,1,0%,8
St. Lucia,0,1,0%,8
Malta,0,1,0%,8
Antigua & Barbuda,0,1,0%,9
Yemen,0,1,0%,9
Cameroon,0,1,0%,10
Libya,0,1,0%,10
Samoa,0,1,0%,11
