Country,Clicks,Impressions,CTR,Position
United States,25,6161,0.41%,10.03
India,6,275,2.18%,8.04
Canada,4,468,0.85%,9.81
United Kingdom,4,308,1.3%,13.73
Germany,3,143,2.1%,10.36
Singapore,1,109,0.92%,9.21
Australia,1,58,1.72%,12.26
Ireland,1,55,1.82%,6.16
Sweden,1,35,2.86%,6.4
Switzerland,1,23,4.35%,8.22
Czechia,1,11,9.09%,6.27
Austria,1,8,12.5%,6
Slovakia,1,6,16.67%,4.33
Brazil,0,307,0%,7.36
France,0,141,0%,7.99
Mexico,0,115,0%,6.61
South Korea,0,110,0%,8.85
Japan,0,106,0%,6.93
Netherlands,0,106,0%,8.47
Spain,0,104,0%,6.63
Vietnam,0,92,0%,6.24
China,0,71,0%,4.69
Hong Kong,0,63,0%,6.25
Italy,0,58,0%,7.43
Russia,0,49,0%,4.51
Pakistan,0,48,0%,4.52
Philippines,0,47,0%,5.96
Indonesia,0,46,0%,6.48
Argentina,0,44,0%,5.41
Colombia,0,44,0%,6.32
Thailand,0,38,0%,6.42
Ukraine,0,35,0%,6.03
Taiwan,0,32,0%,5.09
Romania,0,30,0%,5.23
Ecuador,0,30,0%,6
Serbia,0,30,0%,9.13
Malaysia,0,29,0%,4.24
Poland,0,28,0%,5.04
Turkey,0,28,0%,5.21
Bangladesh,0,25,0%,6.88
Peru,0,25,0%,6.96
Israel,0,25,0%,10.36
Portugal,0,23,0%,5.78
United Arab Emirates,0,22,0%,5.32
Algeria,0,22,0%,5.77
Dominican Republic,0,21,0%,6.52
Greece,0,20,0%,8.15
Iran,0,19,0%,5.21
Morocco,0,19,0%,8.05
Chile,0,19,0%,9.42
Belgium,0,17,0%,5.53
Finland,0,17,0%,9.29
Denmark,0,17,0%,32.53
Kazakhstan,0,16,0%,8.25
Egypt,0,15,0%,6.27
Georgia,0,14,0%,6.93
Nigeria,0,13,0%,6
South Africa,0,13,0%,6
Saudi Arabia,0,12,0%,7.42
Hungary,0,11,0%,5.91
Norway,0,11,0%,7.36
New Zealand,0,11,0%,9.64
Belarus,0,10,0%,3.8
Croatia,0,10,0%,4.5
Venezuela,0,10,0%,7.3
Uruguay,0,9,0%,9.78
Nepal,0,8,0%,6.25
Tunisia,0,8,0%,7.75
Iraq,0,8,0%,10.75
Costa Rica,0,7,0%,5
Lithuania,0,7,0%,5.86
Puerto Rico,0,7,0%,7.29
Palestine,0,7,0%,7.57
Barbados,0,6,0%,4.5
Latvia,0,6,0%,5.5
Honduras,0,6,0%,6.17
Panama,0,5,0%,3.4
Estonia,0,5,0%,5.2
Albania,0,5,0%,6
Trinidad & Tobago,0,5,0%,6.2
Qatar,0,5,0%,6.4
Cyprus,0,5,0%,7.2
Kenya,0,5,0%,9
Unknown Region,0,5,0%,9
Uzbekistan,0,4,0%,4
Guatemala,0,4,0%,4.25
Bulgaria,0,4,0%,4.75
Jamaica,0,4,0%,5
Sri Lanka,0,4,0%,6
Paraguay,0,4,0%,7
Senegal,0,4,0%,7
Ethiopia,0,4,0%,7.5
Azerbaijan,0,3,0%,4
Bahrain,0,3,0%,4
Bolivia,0,3,0%,4.33
Bosnia & Herzegovina,0,3,0%,6
Bahamas,0,3,0%,6.33
Jordan,0,3,0%,7.33
Madagascar,0,3,0%,7.33
Kuwait,0,3,0%,9
Ghana,0,3,0%,18.67
Cuba,0,2,0%,3
Lebanon,0,2,0%,3.5
Nicaragua,0,2,0%,3.5
Oman,0,2,0%,3.5
Mongolia,0,2,0%,4.5
Bermuda,0,2,0%,6.5
Malawi,0,2,0%,6.5
Cambodia,0,2,0%,7
Myanmar (Burma),0,2,0%,7
Montenegro,0,2,0%,8.5
Moldova,0,2,0%,10.5
Luxembourg,0,2,0%,11
Armenia,0,1,0%,1
Bhutan,0,1,0%,1
Gibraltar,0,1,0%,1
El Salvador,0,1,0%,1
Laos,0,1,0%,2
Macedonia,0,1,0%,2
Martinique,0,1,0%,2
Syria,0,1,0%,2
Slovenia,0,1,0%,3
Guinea,0,1,0%,4
Angola,0,1,0%,5
Tanzania,0,1,0%,5
US Virgin Islands,0,1,0%,5
Andorra,0,1,0%,6
Brunei,0,1,0%,6
Benin,0,1,0%,7
Côte d’Ivoire,0,1,0%,7
Iceland,0,1,0%,7
Kyrgyzstan,0,1,0%,7
Somalia,0,1,0%,7
Belize,0,1,0%,8
St. Lucia,0,1,0%,8
Malta,0,1,0%,8
Antigua & Barbuda,0,1,0%,9
Yemen,0,1,0%,9
Cameroon,0,1,0%,10
Libya,0,1,0%,10
Uganda,0,1,0%,11
Samoa,0,1,0%,11
