Date,Clicks,Impressions,CTR,Position
2026-02-21,0,0,,
2026-02-22,0,0,,
2026-02-23,1,24,4.17%,12
2026-02-24,0,19,0%,12.7
2026-02-25,2,27,7.41%,11.8
2026-02-26,0,53,0%,13.1
2026-02-27,0,108,0%,15.9
2026-02-28,0,57,0%,22.3
2026-03-01,0,63,0%,23.1
2026-03-02,0,90,0%,21.6
2026-03-03,0,193,0%,19.2
2026-03-04,0,118,0%,31
2026-03-05,0,116,0%,26.1
2026-03-06,1,143,0.7%,24.3
2026-03-07,0,120,0%,25.2
2026-03-08,0,69,0%,19.8
2026-03-09,0,149,0%,23.8
2026-03-10,0,89,0%,12.5
2026-03-11,0,89,0%,20.1
2026-03-12,0,82,0%,14.9
2026-03-13,0,71,0%,15.5
2026-03-14,0,82,0%,8.1
2026-03-15,3,346,0.87%,7.5
2026-03-16,6,1262,0.48%,6.6
2026-03-17,12,2318,0.52%,6.5
2026-03-18,13,2095,0.62%,7.8
2026-03-19,12,2376,0.51%,6.9
2026-03-20,15,2121,0.71%,10
2026-03-21,5,1401,0.36%,10.5
2026-03-22,6,1108,0.54%,11.1
2026-03-23,6,2010,0.3%,8.9
2026-03-24,10,2182,0.46%,8.1
2026-03-25,7,2050,0.34%,8.1
2026-03-26,10,2074,0.48%,8.6
